id,danceability,energy,key,loudness,mode,valence,tempo,duration_ms,time_signature
5hgUndN85doaU8jf6sM1Tj,0.45,0.19,0,-15.775,1,0.245,101.533,182857,4
2sghtIUWplVFKBRIHsVmFu,0.776,0.632,1,-4.863,0,0.969,118.109,159174,4
6oi6AAmRd2IbanRMQZC39J,0.705,0.595,5,-8.411,0,0.357,175.909,157403,4
1nUQzkNDpCd4eNi2md8pHC,0.421,0.525,10,-9.891,1,0.362,148.031,186550,4
7b1U1WyYSe694jTqmF3tEN,0.669,0.741,10,-6.554,0,0.579,97.233,193922,4
1HhAkXeH56SVZiYFJrMJ49,0.797,0.925,2,-5.072,1,0.643,126.958,195308,4
6305Bu0OiRaTWV1f083Wsv,0.252,0.814,1,-4.93,1,0.174,158.863,346482,3
5rsMJbGg6IqniuGPaCFXd9,0.676,0.585,6,-9.138,1,0.864,93.12,120800,4
2vkkyqGIWyrzmdFNYYSwDZ,0.398,0.306,9,-10.978,0,0.359,76.01,234539,4
3eTnjZlQ6P1Ry4q4SsELHk,0.608,0.741,1,-10.623,1,0.887,99.906,248240,3
6t7ssvIwRyThKBiI9xi85q,0.755,0.532,0,-8.77,1,0.759,132.031,171262,4
6oTshmafPagXMEZeLBzc6Y,0.704,0.75,2,-9.15,1,0.259,127.043,352473,4
60D2JqdH4iixYCW5KQFNyR,0.546,0.668,11,-9.661,1,0.66,74.856,180588,4
08Egrggyiheiycgva8cra3,0.768,0.105,10,-13.605,1,0.197,109.932,115880,3
5f8WqzEJVWEs00Mf9Zvofc,0.564,0.647,1,-7.812,1,0.212,79.997,67500,4
5z8H0o98dlKANCnDlKsjkY,0.461,0.707,4,-8.31,0,0.0346,119.986,220320,4
3O78zVX5FiJmQ9gsWfqrN2,0.36,0.455,4,-9.702,1,0.186,181.934,275133,4
3GP1pJRZN7vWwjsASfgPM4,0.49,0.396,11,-10.304,1,0.402,149.841,203200,4
4pO4S5dLphqavzoByuZikz,0.636,0.765,2,-3.688,1,0.214,113.983,329123,4
0CDeDKJOeqqOP3ng2cIsmr,0.321,0.748,9,-7.277,1,0.245,135.717,233812,4
1ydE5C1KehuCQI8EM3qXrQ,0.271,0.457,6,-9.781,0,0.421,83.277,214089,4
1TwbcQGYt9wwc7nbqVF9pL,0.822,0.551,1,-10.095,1,0.685,118.001,158644,4
5F8GAVRpx51r48ARgECxJy,0.393,0.431,3,-12.175,0,0.394,80.032,349119,4
18vwg4Mfc78ZRkeWfhIHuA,0.23,0.963,6,-9.64,1,0.0577,122.943,284933,4
5BrX72zkxJaowRZwgM8wyB,0.517,0.799,9,-6.077,0,0.328,172.039,225693,4
1z4CQKZOaWtGaE1XnbXwft,0.808,0.784,2,-5.077,0,0.632,102.033,145000,4
4j25WxLITRGhkYNmdezE8s,0.717,0.623,1,-5.083,1,0.519,133.012,147970,4
5djAfJnDYgAtpo7bJjFDZG,0.548,0.787,2,-6.414,1,0.345,132.889,197694,4
4pU8p1H78WyQloyJBR6KWE,0.861,0.669,5,-6.119,0,0.582,112.518,199619,3
4szX2NPDe0vhoCGwO4g9cw,0.779,0.612,0,-5.152,1,0.854,134.981,202055,4
01TnMXIy7mJJQ7E8uy937N,0.706,0.698,10,-5.679,1,0.648,130.013,164284,4
7xUAdQvYQFjR767gAzJy24,0.637,0.668,6,-8.273,1,0.486,159.775,235794,4
6jaumuvzitwJKxGJEFfKjM,0.649,0.747,9,-5.136,1,0.323,122.165,123914,4
7p90pU04v5Tt6pNxnyGNXc,0.782,0.712,1,-7.472,0,0.908,159.931,276000,4
3b8tpoO04x1NkH0O5Chx8t,0.732,0.306,4,-15.791,0,0.622,136.341,268027,4
5t8aBG6LcPyJrQl4gdUYTD,0.301,0.419,2,-8.997,1,0.0798,83.801,286053,3
0PbXhejxq3Ih2ObOGfundH,0.466,0.649,4,-7.802,1,0.276,139.973,207013,4
0ZGRkUF13K8ke3bazWIl0T,0.512,0.893,7,-4.576,1,0.473,98.041,181750,4
3gTIMx8YkElWYkvc6H3pgR,0.554,0.789,2,-6.65,1,0.548,135.144,298999,4
2BOBG1uAz5X2UukynsvgXb,0.367,0.84,1,-5.372,0,0.461,113.828,83481,4
28bX7nVpWmFjU6jG72adUf,0.654,0.867,5,-10.43,0,0.189,140.019,283000,4
5da9mhqPimauZM5WwnEwzP,0.595,0.969,9,-5.07,0,0.806,120.963,319067,4
3K5yjMCFHN4TRWKj1zdKIQ,0.865,0.79,11,-6.676,1,0.288,137.994,140005,4
7aSecH0g4ZovVsR7E7GmBv,0.703,0.592,4,-8.835,0,0.12,141.063,114218,4
7DKhGCTA1lGdZCLrsnJVr9,0.557,0.811,11,-5.889,0,0.732,128.109,201142,4
2uffOhl7IE6vbk8NtvpD9c,0.745,0.789,7,-10.242,1,0.827,148.028,215787,4
0KiE48vGMjJPschn1WxWMn,0.448,0.558,1,-6.365,1,0.432,177.816,181903,4
0JqaXaOMP5twlD80Sk8rre,0.557,0.803,9,-6.115,0,0.633,94.999,250227,4
6IeEPBIjpfO13dVRoPDIOE,0.315,0.873,9,-6.761,1,0.469,87.186,252947,4
0pC0qIpSTvptjrCSg0p9Gq,0.744,0.59,10,-7.298,1,0.777,124.99,299766,4
2T0NGoXh9FT1kCjQA5Phto,0.513,0.356,3,-12.059,1,0.77,143.837,174539,3
6Qb7YsAqH4wWFUMbGsCpap,0.812,0.587,5,-4.483,0,0.664,123.041,209488,4
1LqFMtMW44W8XQ1OtV43gg,0.446,0.923,7,-3.17,1,0.397,166.045,157746,4
1vFHMD1ggdPHQdJPr1sGAa,0.601,0.545,9,-8.936,0,0.282,100.015,159859,4
4jMfntwDOIdSRz7kmeCgpG,0.73,0.453,7,-11.727,1,0.236,129.982,235483,4
3g3WLQLqNNLyzCY7rBZup7,0.557,0.632,2,-8.431,1,0.533,149.985,151573,4
4vR5uqdSi0x9FaVN0nb1FV,0.39,0.631,1,-10.01,1,0.131,131.849,600500,4
2xiTt1NcwTUuIeHXHcmiiY,0.748,0.483,0,-12.052,1,0.897,135.119,257827,4
02bspNI1gmunfBI8u0xP95,0.528,0.31,6,-12.608,1,0.346,100.05,68000,4
1sibZ12UhxsG33aQgcXYCp,0.584,0.587,2,-6.587,1,0.401,101.4,177822,4
52iHuhD1Xw0KcMgE55MvcK,0.644,0.683,11,-3.814,0,0.658,129.974,226338,4
29XZAWF4LxDRk2aWQA3fdT,0.464,0.902,2,-4.016,1,0.873,80.04,199733,4
3qVRAYhHqf9LzaYQvtdqOd,0.523,0.732,9,-8.154,1,0.249,116.99,249440,4
4d7BPCLKQxZCr4ZzKhZzpB,0.226,0.785,6,-8.011,1,0.302,173.315,562329,5
0xEHXAoanem0YrAZ2HMFRY,0.674,0.652,0,-8.611,1,0.375,113.989,277286,4
0NL61fJiDf07EAd2HzsNCW,0.575,0.25,2,-9.352,0,0.167,138.005,333167,4
5BfLBqr0hr9hMXaudLZA8y,0.756,0.459,1,-11.839,1,0.35,125.038,518171,4
1bfadCF5HF3n4smcCsn0gw,0.73,0.783,3,-4.207,0,0.674,150.006,200800,4
59Y1Y62ZLm0inelc9Zuehw,0.479,0.856,3,-2.906,1,0.774,208.741,123481,3
6NLZQIVfQClv31tZ63WbHV,0.582,0.869,2,-5.378,1,0.688,78.8,182279,4
4OBPoAmeVVf6ywgCVv4uqn,0.354,0.862,1,-4.449,1,0.68,91.245,165407,3
6jaNPpxQlkZj2cOiSUmmXj,0.541,0.206,0,-13.748,1,0.197,94.899,232587,4
1AG0zqRn0lKTXDqcnXKa1x,0.765,0.86,1,-8.391,1,0.381,129.061,321800,4
7EovTzlTgRD6MdprArq80m,0.768,0.985,1,-7.353,0,0.89,143.975,310185,4
6G7OiVdHJAbsaNqx94ojqg,0.808,0.831,0,-5.855,0,0.376,135.976,262827,4
5CzBAxZkcYP3YMKOKtTKhe,0.366,0.519,6,-13.202,0,0.446,131.948,305455,4
6M3BYtzp1WLov2NDM5nsaI,0.584,0.462,1,-14.445,1,0.366,127.028,183360,4
0SURLSvwJxHyNRCXyZjNS3,0.702,0.756,8,-8.273,0,0.55,130.057,126066,4
56NeC5RB6XA4ctZ8FctwG4,0.6,0.928,9,-3.699,1,0.444,169.934,176914,4
2qXSWquHZScT6OMJARM6Ql,0.779,0.732,0,-4.686,0,0.361,104.969,177120,4
5WnApmMxAleZU7RqcuRypB,0.369,0.578,0,-8.303,1,0.232,118.911,555880,4
3G9GN38rhuGtvZfW3Lc76N,0.434,0.865,4,-6.7,1,0.65,147.992,162413,4
1V9kNQy5UOsgRbgrNu595p,0.675,0.78,10,-11.708,0,0.122,119.993,293200,4
3sn5gqosgrs0y1ljACKUCt,0.416,0.0775,6,-23.078,0,0.11,137.141,383851,4
1mcYsmqdy5B9zte056Cxgq,0.432,0.917,1,-5.852,1,0.393,97.977,276280,4
2O2Pt2sbaUUA9o8CoRVOeW,0.589,0.711,10,-5.011,0,0.384,118.733,236472,4
04Blc3wPUReZEVymBvn30i,0.415,0.708,1,-10.456,1,0.344,109.197,195139,5
70Pxlv6OpjLTGwtUQhRLwa,0.714,0.506,11,-8.919,1,0.437,130.041,147702,4
0K9tfzrxJyCQIf7oAlPwaK,0.617,0.904,11,-5.371,1,0.764,151.926,274766,4
20WiJleGqh8LoVrW0jE4Sm,0.82,0.841,2,-7.372,1,0.462,149.98,244000,4
3d5WVBVLX3hv8gnoPxZdPV,0.249,0.896,4,-6.638,0,0.154,126.479,386240,4
2GlIblEAaKw75BXkRHVlpu,0.427,0.632,1,-7.886,1,0.0924,140.234,137165,4
3Y6nnH4zYeJFNGRhSEq8Mx,0.292,0.381,10,-9.016,1,0.185,135.632,344886,4
6xeD8GYFsF1jUlps21rWHO,0.429,0.306,2,-11.038,1,0.319,82.348,246618,4
26Swptg946qdQg550xWHVS,0.688,0.567,7,-8.637,1,0.614,141.938,192299,4
4vaCRKqwtnnpUpAvFjveVB,0.8,0.773,4,-5.478,1,0.595,121.028,153604,4
4EXMDeq0215XfvNRzwROMT,0.468,0.794,5,-8.512,1,0.276,80.915,186613,4
5VAGx9L6hdAk6PgVWpmX13,0.585,0.516,4,-11.308,0,0.238,131.169,369339,3
5hgUndN85doaU8jf6sM1Tj,0.45,0.19,0,-15.775,1,0.245,101.533,182857,4
2sghtIUWplVFKBRIHsVmFu,0.776,0.632,1,-4.863,0,0.969,118.109,159174,4
6oi6AAmRd2IbanRMQZC39J,0.705,0.595,5,-8.411,0,0.357,175.909,157403,4
1nUQzkNDpCd4eNi2md8pHC,0.421,0.525,10,-9.891,1,0.362,148.031,186550,4
7b1U1WyYSe694jTqmF3tEN,0.669,0.741,10,-6.554,0,0.579,97.233,193922,4
1HhAkXeH56SVZiYFJrMJ49,0.797,0.925,2,-5.072,1,0.643,126.958,195308,4
6305Bu0OiRaTWV1f083Wsv,0.252,0.814,1,-4.93,1,0.174,158.863,346482,3
5rsMJbGg6IqniuGPaCFXd9,0.676,0.585,6,-9.138,1,0.864,93.12,120800,4
2vkkyqGIWyrzmdFNYYSwDZ,0.398,0.306,9,-10.978,0,0.359,76.01,234539,4
3eTnjZlQ6P1Ry4q4SsELHk,0.608,0.741,1,-10.623,1,0.887,99.906,248240,3
6t7ssvIwRyThKBiI9xi85q,0.755,0.532,0,-8.77,1,0.759,132.031,171262,4
6oTshmafPagXMEZeLBzc6Y,0.704,0.75,2,-9.15,1,0.259,127.043,352473,4
60D2JqdH4iixYCW5KQFNyR,0.546,0.668,11,-9.661,1,0.66,74.856,180588,4
08Egrggyiheiycgva8cra3,0.768,0.105,10,-13.605,1,0.197,109.932,115880,3
5f8WqzEJVWEs00Mf9Zvofc,0.564,0.647,1,-7.812,1,0.212,79.997,67500,4
5z8H0o98dlKANCnDlKsjkY,0.461,0.707,4,-8.31,0,0.0346,119.986,220320,4
3O78zVX5FiJmQ9gsWfqrN2,0.36,0.455,4,-9.702,1,0.186,181.934,275133,4
3GP1pJRZN7vWwjsASfgPM4,0.49,0.396,11,-10.304,1,0.402,149.841,203200,4
4pO4S5dLphqavzoByuZikz,0.636,0.765,2,-3.688,1,0.214,113.983,329123,4
0CDeDKJOeqqOP3ng2cIsmr,0.321,0.748,9,-7.277,1,0.245,135.717,233812,4
1ydE5C1KehuCQI8EM3qXrQ,0.271,0.457,6,-9.781,0,0.421,83.277,214089,4
1TwbcQGYt9wwc7nbqVF9pL,0.822,0.551,1,-10.095,1,0.685,118.001,158644,4
5F8GAVRpx51r48ARgECxJy,0.393,0.431,3,-12.175,0,0.394,80.032,349119,4
18vwg4Mfc78ZRkeWfhIHuA,0.23,0.963,6,-9.64,1,0.0577,122.943,284933,4
5BrX72zkxJaowRZwgM8wyB,0.517,0.799,9,-6.077,0,0.328,172.039,225693,4
1z4CQKZOaWtGaE1XnbXwft,0.808,0.784,2,-5.077,0,0.632,102.033,145000,4
4j25WxLITRGhkYNmdezE8s,0.717,0.623,1,-5.083,1,0.519,133.012,147970,4
5djAfJnDYgAtpo7bJjFDZG,0.548,0.787,2,-6.414,1,0.345,132.889,197694,4
4pU8p1H78WyQloyJBR6KWE,0.861,0.669,5,-6.119,0,0.582,112.518,199619,3
4szX2NPDe0vhoCGwO4g9cw,0.779,0.612,0,-5.152,1,0.854,134.981,202055,4
01TnMXIy7mJJQ7E8uy937N,0.706,0.698,10,-5.679,1,0.648,130.013,164284,4
7xUAdQvYQFjR767gAzJy24,0.637,0.668,6,-8.273,1,0.486,159.775,235794,4
6jaumuvzitwJKxGJEFfKjM,0.649,0.747,9,-5.136,1,0.323,122.165,123914,4
7p90pU04v5Tt6pNxnyGNXc,0.782,0.712,1,-7.472,0,0.908,159.931,276000,4
3b8tpoO04x1NkH0O5Chx8t,0.732,0.306,4,-15.791,0,0.622,136.341,268027,4
5t8aBG6LcPyJrQl4gdUYTD,0.301,0.419,2,-8.997,1,0.0798,83.801,286053,3
0PbXhejxq3Ih2ObOGfundH,0.466,0.649,4,-7.802,1,0.276,139.973,207013,4
0ZGRkUF13K8ke3bazWIl0T,0.512,0.893,7,-4.576,1,0.473,98.041,181750,4
3gTIMx8YkElWYkvc6H3pgR,0.554,0.789,2,-6.65,1,0.548,135.144,298999,4
2BOBG1uAz5X2UukynsvgXb,0.367,0.84,1,-5.372,0,0.461,113.828,83481,4
28bX7nVpWmFjU6jG72adUf,0.654,0.867,5,-10.43,0,0.189,140.019,283000,4
5da9mhqPimauZM5WwnEwzP,0.595,0.969,9,-5.07,0,0.806,120.963,319067,4
3K5yjMCFHN4TRWKj1zdKIQ,0.865,0.79,11,-6.676,1,0.288,137.994,140005,4
7aSecH0g4ZovVsR7E7GmBv,0.703,0.592,4,-8.835,0,0.12,141.063,114218,4
7DKhGCTA1lGdZCLrsnJVr9,0.557,0.811,11,-5.889,0,0.732,128.109,201142,4
2uffOhl7IE6vbk8NtvpD9c,0.745,0.789,7,-10.242,1,0.827,148.028,215787,4
0KiE48vGMjJPschn1WxWMn,0.448,0.558,1,-6.365,1,0.432,177.816,181903,4
